name,material,role,bbox_x_mm,bbox_y_mm,bbox_z_mm,approx_solid_volume_cm3,recommended_print_axis_up,shapeways_pa12_standard_bbox_ok,shapeways_pa12_smooth_color_bbox_ok,stl,step,source_kind,source_asset,oem_baseline_meshes
torso_chest_shell,orange_armor,armor,126.0,156.0,240.0,2427.68,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/torso_chest_shell.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/torso_chest_shell.step,parametric_loft,,waist_yaw_link.STL;torso_collision.stl
chest_upper_bridge_armor,orange_armor,armor,17.98,150.0,17.98,35.62,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/chest_upper_bridge_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/chest_upper_bridge_armor.step,primitive,,torso_collision.stl;waist_yaw_link.STL
chest_lower_bridge_armor,orange_armor,armor,15.98,130.0,15.98,24.36,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/chest_lower_bridge_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/chest_lower_bridge_armor.step,primitive,,torso_collision.stl;waist_yaw_link.STL
chest_sensor_black,eye_lip_detail,face_detail,10.0,116.0,22.0,25.52,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/chest_sensor_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/chest_sensor_black.step,primitive,,
chest_panel_seam_black,eye_lip_detail,face_detail,10.0,156.0,14.0,21.84,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/chest_panel_seam_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/chest_panel_seam_black.step,primitive,,
left_chest_contour_armor,orange_armor,armor,11.6,36.0,80.0,19.41,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_chest_contour_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_chest_contour_armor.step,parametric_loft,,torso_collision.stl;waist_yaw_link.STL
right_chest_contour_armor,orange_armor,armor,11.6,36.0,80.0,19.41,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_chest_contour_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_chest_contour_armor.step,parametric_loft,,torso_collision.stl;waist_yaw_link.STL
left_chest_outer_armor_skin,orange_armor,armor,5.0,32.0,128.0,11.35,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_chest_outer_armor_skin.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_chest_outer_armor_skin.step,parametric_loft,,torso_collision.stl;waist_yaw_link.STL
right_chest_outer_armor_skin,orange_armor,armor,5.0,32.0,128.0,11.35,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_chest_outer_armor_skin.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_chest_outer_armor_skin.step,parametric_loft,,torso_collision.stl;waist_yaw_link.STL
chest_under_bust_black,eye_lip_detail,face_detail,6.0,120.0,12.0,8.64,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/chest_under_bust_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/chest_under_bust_black.step,primitive,,
