,antenna_aperture_tuner,audio_codec_package_marker,backlight_bias_package_marker,battery_back_void_foam_pad,battery_connector_lead_flex,battery_lead_flex_from_terminal,battery_lead_flex_to_terminal,battery_pouch,bottom_mic,bottom_microphone_flex_from_terminal,bottom_microphone_flex_leads,bottom_microphone_flex_to_terminal,bottom_microphone_mesh_1,bottom_microphone_mesh_2,bottom_microphone_port_1,bottom_microphone_port_2,bottom_speaker_acoustic_chamber,bottom_speaker_dust_mesh,bottom_speaker_grille_slot_1,bottom_speaker_grille_slot_2,bottom_speaker_grille_slot_3,bottom_speaker_grille_slot_4,bottom_speaker_grille_slot_5,bottom_speaker_lead_pair,bottom_speaker_lead_pair_from_terminal,bottom_speaker_lead_pair_to_terminal,bottom_speaker_module,c0402_component_marker,cellular_antenna_aperture_tuner_from_terminal,cellular_antenna_aperture_tuner_to_terminal,cellular_bottom_antenna_keepout,cellular_div_rf_feed_development_envelope,cellular_diversity_rf_feed_from_terminal,cellular_diversity_rf_feed_to_terminal,cellular_gnss_rf_feed_development_envelope,cellular_gnss_rf_feed_from_terminal,cellular_gnss_rf_feed_to_terminal,cellular_lga_module_keepout,cellular_main_rf_feed_from_terminal,cellular_main_rf_feed_to_terminal,cellular_rf_feed_development_envelope,cellular_top_antenna_keepout,compute_som_daughterboard_keepout,compute_som_sodimm_carrier_from_terminal,compute_som_sodimm_carrier_to_terminal,compute_som_sodimm_connector,display_fpc_bend_keepout,display_fpc_connector,display_fpc_tail,display_lcm,display_touch_fpc_from_terminal,display_touch_fpc_to_terminal,dram_package_marker,earpiece_gasket,earpiece_receiver,earpiece_receiver_lead_flex,earpiece_receiver_lead_flex_from_terminal,earpiece_receiver_lead_flex_to_terminal,esd_array_6ch_marker,esim_package_marker,fiducial_1mm_marker,front_camera_black_mask_window,front_camera_csi_fpc_from_terminal,front_camera_csi_fpc_to_terminal,front_camera_fpc_tail,front_camera_module,front_camera_under_glass,front_camera_under_glass_adhesive_bottom,front_camera_under_glass_adhesive_left,front_camera_under_glass_adhesive_right,front_camera_under_glass_adhesive_top,fuel_gauge_package_marker,glass_perimeter_cushion_bottom,glass_perimeter_cushion_left,glass_perimeter_cushion_right,glass_perimeter_cushion_top,gnss_lna_package_marker,handset_acoustic_mesh,handset_acoustic_slot,haptic_driver_package_marker,haptic_flex_from_terminal,haptic_flex_tail,haptic_flex_to_terminal,haptic_lra,l0402_component_marker,main_pcb,mounting_hole_1p2_marker,nfc_controller_package_marker,nfc_loop_antenna_flex_from_terminal,nfc_loop_antenna_flex_marker,nfc_loop_antenna_flex_to_terminal,nfc_loop_match_marker,orange_back_shell,orange_battery_left_rib,orange_battery_right_rib,orange_corner_rib_1,orange_corner_rib_1_leg,orange_corner_rib_2,orange_corner_rib_2_leg,orange_corner_rib_3,orange_corner_rib_3_leg,orange_corner_rib_4,orange_corner_rib_4_leg,orange_rear_camera_bezel_bottom,orange_rear_camera_bezel_left,orange_rear_camera_bezel_right,orange_rear_camera_bezel_top,orange_rear_flash_bezel_bottom,orange_rear_flash_bezel_left,orange_rear_flash_bezel_right,orange_rear_flash_bezel_top,orange_screw_boss_1,orange_screw_boss_10,orange_screw_boss_2,orange_screw_boss_3,orange_screw_boss_4,orange_screw_boss_5,orange_screw_boss_6,orange_screw_boss_7,orange_screw_boss_8,orange_screw_boss_9,orange_side_frame,orange_snap_hook_1,orange_snap_hook_2,orange_snap_hook_3,orange_snap_hook_4,orange_snap_hook_5,orange_snap_hook_6,orange_snap_hook_7,orange_snap_hook_8,orange_usb_reinforcement_saddle,pi_match_0402_marker,pmic_package_marker,pmic_shield_can,power_button_cap,power_button_elastomer_gasket,power_button_labyrinth_lower_rail,power_button_labyrinth_upper_rail,r0402_component_marker,radio_shield_can,rc_array_4ch_marker,rear_camera_cover_adhesive_bottom,rear_camera_cover_adhesive_left,rear_camera_cover_adhesive_right,rear_camera_cover_adhesive_top,rear_camera_cover_glass,rear_camera_csi_fpc_from_terminal,rear_camera_csi_fpc_to_terminal,rear_camera_fpc_tail,rear_camera_lens_window,rear_camera_light_baffle_bottom,rear_camera_light_baffle_top,rear_camera_module,rear_camera_optical_sight_tunnel,rear_camera_shell_aperture,rear_flash_camera_septum,rear_flash_led,rear_flash_led_window,rear_flash_shell_aperture,rear_flash_window_adhesive_bottom,rear_flash_window_adhesive_left,rear_flash_window_adhesive_right,rear_flash_window_adhesive_top,rf_transceiver_package_marker,screen_adhesive_bottom,screen_adhesive_left,screen_adhesive_right,screen_adhesive_top,screen_cover_glass,sensor_hub_package_marker,service_label_recess,shunt_1206_marker,side_key_flex_from_terminal,side_key_flex_tail,side_key_flex_to_terminal,sim_esim_signal_flex_from_terminal,sim_esim_signal_flex_marker,sim_esim_signal_flex_to_terminal,sim_tray_keepout,sim_tray_outline,soc_package_marker,soc_shield_can,split_interconnect_bottom_connector,split_interconnect_bottom_flex_tail,split_interconnect_side_flex,split_interconnect_side_flex_from_terminal,split_interconnect_side_flex_to_terminal,split_interconnect_top_connector,split_interconnect_top_flex_tail,storage_package_marker,testpoint_1mm_marker,top_mic,top_microphone_flex_from_terminal,top_microphone_flex_tail,top_microphone_flex_to_terminal,top_microphone_mesh,top_microphone_port,tvs_diode_2p_marker,usb_c_escape_tail_from_terminal,usb_c_escape_tail_to_terminal,usb_c_external_aperture,usb_c_internal_drain_shelf,usb_c_molded_drip_break_lip,usb_c_perimeter_gasket_bottom,usb_c_perimeter_gasket_left,usb_c_perimeter_gasket_right,usb_c_perimeter_gasket_top,usb_c_power_data_escape_tail,usb_c_receptacle,usim_levelshift_package_marker,volume_button_cap,volume_button_elastomer_gasket,volume_button_labyrinth_lower_rail,volume_button_labyrinth_upper_rail,wifi_bt_module_keepout,wifi_bt_rf0_feed_from_terminal,wifi_bt_rf0_feed_to_terminal,wifi_bt_rf1_feed_development_envelope,wifi_bt_rf1_feed_from_terminal,wifi_bt_rf1_feed_to_terminal,wifi_bt_rf_feed_development_envelope,wifi_bt_side_antenna_keepout
antenna_aperture_tuner,0.0,9.3,100.3,19.8,16.0,58.84,31.575,16.3,6.25,130.69,4.3,7.54,7.74,8.3,7.92,8.5,36.1,35.5,36.9,39.9,42.9,45.9,48.9,21.0,54.775,43.983,37.0,14.5,112.315,25.775,0.0,120.8,112.494,25.225,121.8,112.673,130.194,95.8,112.673,138.94,120.3,135.2,96.8,130.69,112.54,115.8,123.3,120.2,108.8,2.98,122.262,60.34,130.8,135.0,132.6,127.4,130.69,136.34,25.0,53.0,38.5,132.1,8.375,135.457,129.4,131.35,132.9,132.45,132.9,132.9,136.35,16.05,6.085,9.55,63.55,141.685,128.05,135.94,135.5,45.3,130.69,44.0,61.381,58.5,11.5,0.8,41.4,94.3,97.693,41.0,125.698,124.1,2.85,10.8,54.625,123.9,117.8,123.9,117.8,8.8,8.8,54.0,60.1,118.3,119.3,119.3,129.9,123.05,123.5,123.5,125.7,122.7,102.7,122.7,6.7,58.9,84.7,84.7,44.7,58.9,102.7,6.85,116.3,88.3,40.3,12.3,116.3,88.3,62.45,62.45,17.0,8.25,118.3,116.8,80.8,80.3,79.85,92.95,17.5,106.8,8.3,119.495,120.0,120.0,129.255,120.0,7.54,125.101,129.4,121.2,120.575,128.275,119.6,121.05,119.3,120.45,124.1,123.8,123.5,123.3,123.8,123.8,125.45,118.05,6.31,9.55,63.55,141.685,6.55,100.3,10.5,8.0,19.975,103.8,86.583,130.69,54.5,58.044,50.55,64.45,115.3,113.8,40.0,48.0,59.3,104.645,47.596,103.1,103.3,130.3,35.5,134.075,130.69,112.8,135.973,143.34,143.52,30.4,25.225,43.175,20.9,19.6,19.4,20.3,20.405,31.245,20.3,17.0,21.53,50.7,70.3,69.8,69.35,91.45,104.1,109.221,110.212,105.575,109.457,110.454,108.575,107.3
audio_codec_package_marker,9.3,0.0,84.0,4.39,5.0,42.54,20.575,0.0,9.775,114.39,4.0,11.673,19.04,19.04,19.22,19.22,25.1,24.5,25.9,28.9,31.9,34.9,37.9,10.0,43.775,32.983,26.0,3.5,96.015,14.775,10.9,104.5,96.194,14.64,105.5,96.373,113.894,79.5,96.373,122.64,104.0,118.9,80.5,114.39,96.24,99.5,107.0,103.9,92.5,1.59,105.962,44.04,114.5,118.7,116.3,111.1,114.39,120.04,14.0,42.0,27.5,115.8,6.39,119.157,113.1,115.05,116.6,116.15,116.6,116.6,120.05,2.05,17.385,15.55,52.55,125.385,111.75,119.64,119.2,34.3,114.39,33.0,50.381,47.5,0.5385,1.52,30.4,78.0,81.393,30.0,109.398,107.8,4.52,6.625,43.625,107.6,101.5,107.6,101.5,6.0,12.1,43.0,49.1,102.0,103.0,103.0,113.6,106.75,107.2,107.2,109.4,106.4,86.4,106.4,10.9,47.9,68.4,68.4,28.4,47.9,86.4,15.85,100.0,72.0,24.0,14.45,100.0,72.0,51.45,51.45,9.9,0.0,102.0,100.5,64.5,64.0,63.55,76.65,6.5,90.5,0.0,103.195,103.7,103.7,112.955,103.7,6.775,108.801,113.1,104.9,104.275,111.975,103.3,104.75,103.0,104.15,107.8,107.5,107.2,107.0,107.5,107.5,109.15,101.75,17.385,15.55,52.55,125.385,5.16,84.0,5.675,4.4,8.975,87.5,70.283,114.39,43.5,47.044,39.55,53.45,99.0,97.5,29.0,37.0,48.3,88.345,36.596,86.8,87.0,114.0,24.5,117.775,114.39,96.5,119.673,127.04,127.22,19.4,15.94,32.175,19.205,16.5,18.655,18.755,18.755,20.245,18.755,6.0,11.3,39.7,54.0,53.5,53.05,75.15,87.8,92.921,93.912,89.275,93.157,94.154,92.275,91.0
backlight_bias_package_marker,100.3,84.0,0.0,4.39,85.4,41.24,97.39,0.0,100.775,50.775,95.0,102.673,110.04,110.04,110.22,110.22,90.8,110.02,110.215,110.215,110.215,110.215,110.215,95.0,97.39,98.16,91.8,91.25,38.072,105.64,101.9,45.775,37.552,105.64,49.775,37.032,51.647,23.0,37.032,34.64,51.775,30.9,0.0,26.39,21.225,11.5,19.0,15.9,4.5,1.59,17.962,39.74,26.5,30.7,28.3,23.1,27.575,32.04,91.0,84.5,91.0,38.5,97.39,40.475,35.5,37.75,39.3,38.9,42.75,38.85,38.9,82.75,108.385,59.55,11.55,37.385,50.5,31.64,31.2,86.8,26.39,86.0,78.397,71.5,91.2,1.52,90.9,45.5,47.916,95.0,51.677,50.0,4.52,50.625,2.625,50.0,56.1,19.6,13.5,90.6,84.5,90.6,84.5,14.0,15.0,15.0,25.6,18.75,19.2,19.2,21.4,54.9,6.9,18.4,89.4,89.4,54.9,11.4,54.9,51.4,54.9,11.85,58.45,58.45,58.45,83.0,12.0,10.45,55.0,83.0,100.9,90.95,14.0,12.5,12.55,12.1,19.65,11.775,91.25,35.0,91.0,15.195,15.7,15.7,24.955,15.7,97.39,20.801,25.1,16.9,16.275,23.975,15.3,16.75,15.0,16.15,19.8,19.5,19.2,19.0,19.5,19.5,21.15,40.25,108.385,59.55,11.55,37.385,5.16,13.5,80.8,90.7,97.39,4.5,14.332,26.39,91.0,52.287,40.5,42.5,22.5,20.0,84.8,85.0,7.3,6.15,86.887,0.62,1.58,26.0,91.0,29.775,39.175,48.6,31.673,39.04,39.22,91.1,106.94,97.39,110.205,107.5,109.655,109.755,109.755,109.755,109.755,96.0,102.3,88.45,60.55,60.1,59.775,59.775,0.22,6.15,6.15,1.275,6.15,6.154,4.275,3.0
battery_back_void_foam_pad,19.8,4.39,4.39,0.0,4.9,10.76,16.89,0.42,20.275,30.89,14.5,22.173,29.54,29.54,29.72,29.72,10.3,29.52,29.715,29.715,29.715,29.715,29.715,14.5,16.89,17.66,11.3,10.75,12.515,25.14,21.4,21.0,12.694,25.14,22.0,12.873,30.394,2.92,12.873,39.14,20.5,35.4,3.67,30.89,12.74,16.0,23.5,20.4,9.0,6.2,22.462,10.76,31.0,35.2,32.8,27.6,30.89,36.54,10.5,4.4,10.5,32.3,16.89,35.657,29.6,31.55,33.1,32.65,33.1,33.1,36.55,4.4,27.885,9.17,9.17,41.885,28.25,36.14,35.7,6.3,30.89,5.5,10.76,2.5,10.7,2.07,10.4,4.39,10.76,14.5,25.898,24.3,0.0,0.87,0.87,24.1,18.0,24.1,18.0,10.1,4.1,10.1,4.1,18.5,19.5,19.5,30.1,23.25,23.7,23.7,25.9,22.9,2.9,22.9,8.9,8.9,2.9,2.9,2.9,2.9,2.9,7.85,16.5,6.45,6.45,6.45,16.5,6.45,6.45,6.45,20.4,10.45,18.5,17.0,8.55,8.1,7.775,7.775,10.75,7.0,10.5,19.695,20.2,20.2,29.455,20.2,16.89,25.301,29.6,21.4,20.775,28.475,19.8,21.25,19.5,20.65,24.3,24.0,23.7,23.5,24.0,24.0,25.65,18.25,27.885,9.53,9.53,41.885,9.77,4.39,1.105,10.2,16.89,4.0,10.76,30.89,10.5,10.76,2.77,8.45,15.5,14.0,4.3,4.5,3.3,10.76,10.76,3.3,3.5,30.5,10.5,34.275,30.89,13.0,36.173,43.54,43.72,10.6,26.44,16.89,29.705,27.0,29.155,29.255,29.255,29.255,29.255,15.5,21.8,7.95,8.55,8.1,7.775,7.775,4.3,10.76,10.76,5.775,10.76,10.76,8.775,7.5
battery_connector_lead_flex,16.0,5.0,85.4,4.9,0.0,43.94,10.79,1.4,14.175,115.79,8.4,16.073,23.44,23.44,23.62,23.62,12.1,23.42,23.615,23.615,23.615,23.615,24.9,8.4,30.775,19.983,13.0,4.65,97.415,19.04,15.3,105.9,97.594,19.04,106.9,97.773,115.294,80.9,97.773,124.04,105.4,120.3,81.9,115.79,97.64,100.9,108.4,105.3,93.9,3.02,107.362,45.44,115.9,120.1,117.7,112.5,115.79,121.44,4.4,29.0,14.5,117.2,10.79,120.557,114.5,116.45,118.0,117.55,118.0,118.0,121.45,1.22,21.785,27.55,39.55,126.785,113.15,121.04,120.6,21.3,115.79,20.0,37.381,34.5,4.6,0.19,17.4,79.4,82.793,17.0,110.798,109.2,3.19,18.625,30.625,109.0,102.9,109.0,102.9,18.0,24.1,30.0,36.1,103.4,104.4,104.4,115.0,108.15,108.6,108.6,110.8,107.8,87.8,107.8,22.9,34.9,69.8,69.8,29.8,34.9,87.8,22.55,101.4,73.4,26.45,26.45,101.4,73.4,38.45,38.45,14.3,7.8,103.4,101.9,65.9,65.4,64.95,78.05,4.65,91.9,12.0,104.595,105.1,105.1,114.355,105.1,18.775,110.201,114.5,106.3,105.675,113.375,104.7,106.15,104.4,105.55,109.2,108.9,108.6,108.4,108.9,108.9,110.55,103.15,21.785,27.55,39.55,126.785,6.59,85.4,4.345,16.4,10.79,88.9,71.683,115.79,30.5,34.044,26.55,40.45,100.4,98.9,16.0,24.0,35.3,89.745,23.596,88.2,88.4,115.4,11.5,119.175,115.79,97.9,121.073,128.44,128.62,6.4,20.34,19.175,23.605,20.9,23.055,23.155,23.155,23.155,23.155,9.4,15.7,26.7,55.4,54.9,54.45,76.55,89.2,94.321,95.312,90.675,94.557,95.554,93.675,92.4
battery_lead_flex_from_terminal,58.84,42.54,41.24,10.76,43.94,0.0,55.93,4.74,59.315,71.63,53.54,61.213,68.58,68.58,68.76,68.76,49.34,68.56,68.755,68.755,68.755,68.755,68.755,53.54,55.93,56.7,50.34,49.79,53.255,64.18,60.44,61.74,53.434,64.18,62.74,53.613,71.134,36.74,53.613,79.88,61.24,76.14,37.74,71.63,53.48,56.74,64.24,61.14,49.74,1.17,63.202,1.28,71.74,75.94,73.54,68.34,71.63,77.28,49.54,43.04,49.54,73.04,55.93,76.397,70.34,72.29,73.84,73.39,73.84,73.84,77.29,41.29,66.925,36.775,37.875,82.625,68.99,76.88,76.44,45.34,71.63,44.54,36.937,32.825,49.74,7.89,49.44,35.24,38.633,53.54,66.638,65.04,10.89,27.85,28.95,64.84,58.74,64.84,58.74,49.14,43.04,49.14,43.04,59.24,60.24,60.24,70.84,63.99,64.44,64.44,66.64,63.64,43.64,63.64,47.94,47.94,32.125,33.225,32.125,33.225,43.64,1.04,57.24,35.675,35.675,41.54,57.24,36.775,36.775,41.54,59.44,49.49,59.24,57.74,38.875,38.425,38.1,38.1,49.79,47.74,49.54,60.435,60.94,60.94,70.195,60.94,55.93,66.041,70.34,62.14,61.515,69.215,60.54,61.99,60.24,61.39,65.04,64.74,64.44,64.24,64.74,64.74,66.39,58.99,66.925,36.775,37.875,82.625,0.29,41.24,39.34,49.24,55.93,44.74,40.657,71.63,49.54,32.369,24.875,38.775,56.24,54.74,43.34,43.54,33.625,45.585,45.427,44.04,44.24,71.24,49.54,75.015,71.63,53.74,76.913,84.28,84.46,49.64,65.48,55.93,68.745,66.04,68.195,68.295,68.295,68.295,68.295,54.54,60.84,46.99,37.775,37.325,37.0,37.0,45.04,50.161,51.152,46.515,50.397,51.394,49.515,48.24
battery_lead_flex_to_terminal,31.575,20.575,97.39,16.89,10.79,55.93,0.0,13.39,21.825,127.78,19.575,24.098,26.875,21.875,27.075,22.075,9.19,12.41,12.605,12.605,12.605,13.875,16.875,7.58,22.75,11.958,6.79,16.075,109.405,8.03,6.29,117.89,109.584,8.03,118.89,109.763,127.284,92.89,109.763,136.03,117.39,132.29,93.89,127.78,109.63,112.89,120.39,117.29,105.89,1.17,119.352,57.43,127.89,132.09,129.69,124.49,127.78,133.43,6.2,20.975,6.475,129.19,22.75,132.547,126.49,128.44,129.99,129.54,129.99,129.99,133.44,16.625,10.775,43.125,31.525,138.775,125.14,133.03,132.59,13.275,127.78,11.975,29.356,26.475,19.075,7.89,9.375,91.39,94.783,8.975,122.788,121.19,10.89,34.2,22.6,120.99,114.89,120.99,114.89,33.575,39.675,21.975,28.075,115.39,116.39,116.39,126.99,120.14,120.59,120.59,122.79,119.79,99.79,119.79,38.475,26.875,81.79,81.79,41.79,41.79,99.79,1.04,113.39,85.39,42.025,42.025,113.39,85.39,37.39,30.425,8.09,23.375,115.39,113.89,77.89,77.39,76.94,90.04,13.075,103.89,27.575,116.585,117.09,117.09,126.345,117.09,34.35,122.191,126.49,118.29,117.665,125.365,116.69,118.14,116.39,117.54,121.19,120.89,120.59,120.39,120.89,120.89,122.54,115.14,10.775,43.125,31.525,138.775,0.29,97.39,12.045,31.975,11.15,100.89,83.673,127.78,22.475,44.883,34.89,36.89,112.39,110.89,10.19,15.975,27.275,101.735,15.571,100.19,100.39,127.39,6.28,131.165,127.78,109.89,133.063,140.43,140.61,6.2,9.33,11.15,12.595,9.89,12.045,12.145,12.145,12.145,12.145,7.58,6.165,18.675,67.39,66.89,66.44,88.54,101.19,106.311,107.302,102.665,106.547,107.544,105.665,104.39
battery_pouch,16.3,0.0,0.0,0.42,1.4,4.74,13.39,0.0,16.775,27.39,11.0,18.673,26.04,26.04,26.22,26.22,6.8,26.02,26.215,26.215,26.215,26.215,26.215,11.0,13.39,14.16,7.8,7.25,9.015,21.64,17.9,17.5,9.194,21.64,18.5,9.373,26.894,0.0,9.373,35.64,17.0,31.9,0.0,27.39,9.24,12.5,20.0,16.9,5.5,0.18,18.962,4.74,27.5,31.7,29.3,24.1,27.39,33.04,7.0,0.5,7.0,28.8,13.39,32.157,26.1,28.05,29.6,29.15,29.6,29.6,33.05,0.0,24.385,5.55,5.55,38.385,24.75,32.64,32.2,2.8,27.39,2.0,4.74,0.5,7.2,0.5,6.9,0.0,4.74,11.0,22.398,20.8,0.55,0.0,0.0,20.6,14.5,20.6,14.5,6.6,2.1,6.6,2.1,15.0,16.0,16.0,26.6,19.75,20.2,20.2,22.4,19.4,0.9031,19.4,5.4,5.4,0.9,0.9,0.9,0.9,0.9031,5.85,13.0,4.45,4.45,4.45,13.0,4.45,4.45,4.45,16.9,6.95,15.0,13.5,6.55,6.1,5.775,5.775,7.25,3.5,7.0,16.195,16.7,16.7,25.955,16.7,13.39,21.801,26.1,17.9,17.275,24.975,16.3,17.75,16.0,17.15,20.8,20.5,20.2,20.0,20.5,20.5,22.15,14.75,24.385,5.55,5.55,38.385,3.75,0.0,1.705,6.7,13.39,0.5,8.332,27.39,7.0,4.74,0.0,6.45,12.0,10.5,0.8,1.0,1.3,4.74,4.74,0.0,0.0,27.0,7.0,30.775,27.39,9.5,32.673,40.04,40.22,7.1,22.94,13.39,26.205,23.5,25.655,25.755,25.755,25.755,25.755,12.0,18.3,4.45,6.55,6.1,5.775,5.775,0.8,5.921,6.912,2.275,6.157,7.154,5.275,4.0
bottom_mic,6.25,9.775,100.775,20.275,14.175,59.315,21.825,16.775,0.0,131.165,4.775,6.99,6.615,6.615,6.795,6.795,26.35,25.75,27.15,30.15,33.15,36.15,39.15,11.25,45.025,34.233,27.25,9.025,112.79,16.025,0.0,121.275,112.969,15.475,122.275,113.148,130.669,96.275,113.148,139.415,120.775,135.675,97.275,131.165,113.015,116.275,123.775,120.675,109.275,2.43,122.737,60.815,131.275,135.475,133.075,127.875,131.165,136.815,15.25,43.25,28.75,132.575,6.99,135.932,129.875,131.825,133.375,132.925,133.375,133.375,136.825,16.525,5.4,17.8,53.8,142.16,128.525,136.415,135.975,35.55,131.165,34.25,51.631,48.75,8.975,1.275,31.65,94.775,98.168,31.25,126.173,124.575,2.9,11.275,44.875,124.375,118.275,124.375,118.275,9.275,14.35,44.25,50.35,118.775,119.775,119.775,130.375,123.525,123.975,123.975,126.175,123.175,103.175,123.175,13.15,49.15,85.175,85.175,45.175,49.15,103.175,5.725,116.775,88.775,40.775,16.7,116.775,88.775,52.7,52.7,7.25,8.725,118.775,117.275,81.275,80.775,80.325,93.425,9.025,107.275,8.775,119.97,120.475,120.475,129.73,120.475,9.025,125.576,129.875,121.675,121.05,128.75,120.075,121.525,119.775,120.925,124.575,124.275,123.975,123.775,124.275,124.275,125.925,118.525,5.76,17.8,53.8,142.16,6.0,100.775,10.975,8.475,10.225,104.275,87.058,131.165,44.75,48.294,40.8,54.7,115.775,114.275,30.25,38.25,49.55,105.12,37.846,103.575,103.775,130.775,25.75,134.55,131.165,113.275,136.448,143.815,143.995,20.65,15.475,33.425,11.15,9.85,9.65,10.55,10.655,21.495,10.55,7.25,11.78,40.95,70.775,70.275,69.825,91.925,104.575,109.696,110.687,106.05,109.932,110.929,109.05,107.775
bottom_microphone_flex_from_terminal,130.69,114.39,50.775,30.89,115.79,71.63,127.78,27.39,131.165,0.0,125.39,133.063,140.43,140.43,140.61,140.61,121.19,140.41,140.605,140.605,140.605,140.605,140.605,125.39,127.78,128.55,122.19,121.64,18.155,136.03,132.29,7.4,17.976,136.03,7.4,17.797,0.5042,5.44,17.797,29.1,7.015,6.29,5.89,57.55,29.1,12.29,40.775,42.275,47.775,4.805,52.385,70.13,17.025,19.775,22.775,21.775,22.75,29.1,121.39,114.89,121.39,7.275,127.78,9.85,7.58,6.525,8.075,7.675,7.625,11.525,7.675,113.14,138.775,8.325,66.325,10.775,7.29,20.025,20.775,117.19,34.35,116.39,108.787,101.89,121.59,7.89,121.29,31.39,32.777,125.39,4.772,6.22,10.89,21.89,57.4,8.89,8.89,56.775,62.875,120.99,114.89,120.99,114.89,43.475,43.475,55.075,43.475,40.125,40.125,42.775,40.125,8.69,61.675,61.675,119.79,119.79,41.79,61.675,81.79,81.79,23.79,1.04,9.39,37.39,85.39,113.39,65.225,65.225,85.39,113.39,131.29,121.34,37.775,35.775,67.325,66.875,66.55,66.55,121.64,6.49,121.39,44.725,44.67,54.43,44.725,45.175,127.78,50.357,30.775,46.375,45.625,45.625,44.775,46.225,44.475,43.675,41.175,40.875,40.575,40.425,40.375,42.525,40.425,6.15,138.775,8.325,66.325,10.775,0.29,34.275,111.19,121.09,127.78,59.275,69.107,45.95,121.39,82.677,70.89,72.89,15.275,12.775,115.19,115.39,62.075,51.455,117.277,42.775,50.775,34.025,121.39,45.025,11.15,7.58,47.298,46.075,46.275,121.49,137.33,127.78,140.595,137.89,140.045,140.145,140.145,140.145,140.145,126.39,132.69,118.84,39.39,38.89,60.54,38.44,42.525,49.412,50.417,50.775,48.915,49.923,52.275,32.775
